task,suite,method,seed,n_evals,best_loss,acceptance_rate,kernel_fraction_dream,n_rescues,n_reseeds,n_bw_refits,time_total,time_objective,time_overhead,frac_exploit,acc_exploit,frac_explore,acc_explore,frac_trapped,acc_trapped
lcbench_167152,lcbench,CTRL_HMM,8,200,-97.31929016113281,0.6170212765957447,0.0,2,2,18,0.4541855999996187,0.05743069991876837,0.39675490008085035,0.9042553191489362,0.6294117647058823,0.09574468085106383,0.5,0.0,
lcbench_167152,lcbench,CTRL_HMM,9,200,-98.15780639648438,0.6243386243386243,0.0,0,3,24,0.3672925000137184,0.045257100005983375,0.322035400007735,0.8835978835978836,0.6407185628742516,0.1164021164021164,0.5,0.0,
lcbench_167168,lcbench,CTRL_HMM,0,200,-87.26140594482422,0.48404255319148937,0.0,4,0,17,0.682359099999303,0.1124450000206707,0.5699140999786323,0.6063829787234043,0.5701754385964912,0.39361702127659576,0.35135135135135137,0.0,
lcbench_167168,lcbench,CTRL_HMM,1,200,-86.89766693115234,0.5053191489361702,0.0,4,0,18,0.6754645999899367,0.10958699995535426,0.5658776000345824,0.7074468085106383,0.5338345864661654,0.2925531914893617,0.43636363636363634,0.0,
lcbench_167168,lcbench,CTRL_HMM,2,200,-87.85661315917969,0.5416666666666666,0.0,0,0,28,0.8165096000011545,0.11744509995332919,0.6990645000478253,0.7604166666666666,0.589041095890411,0.23958333333333334,0.391304347826087,0.0,
lcbench_167168,lcbench,CTRL_HMM,3,200,-87.9803695678711,0.5691489361702128,0.0,3,1,18,0.6752064999891445,0.10824440003489144,0.5669620999542531,0.7340425531914894,0.6014492753623188,0.26595744680851063,0.48,0.0,
lcbench_167168,lcbench,CTRL_HMM,4,200,-86.38076782226562,0.5106382978723404,0.0,4,0,18,0.6755516999983229,0.11122760006401222,0.5643240999343107,0.7180851063829787,0.5111111111111111,0.28191489361702127,0.5094339622641509,0.0,
lcbench_167168,lcbench,CTRL_HMM,5,200,-88.27014923095703,0.4842105263157895,0.0,1,1,24,0.7714254000020446,0.11291919993527699,0.6585062000667676,0.6,0.49122807017543857,0.4,0.47368421052631576,0.0,
lcbench_167168,lcbench,CTRL_HMM,6,200,-85.95804595947266,0.45698924731182794,0.0,5,1,13,0.5493654000019887,0.0954987998411525,0.45386660016083624,0.7473118279569892,0.48201438848920863,0.25268817204301075,0.3829787234042553,0.0,
lcbench_167168,lcbench,CTRL_HMM,7,200,-88.42955780029297,0.5947368421052631,0.0,2,0,22,0.7301974000001792,0.11082620001980104,0.6193711999803782,0.8105263157894737,0.6168831168831169,0.18947368421052632,0.5,0.0,
lcbench_167168,lcbench,CTRL_HMM,8,200,-87.44401550292969,0.47368421052631576,0.0,1,1,24,0.752476800000295,0.11183039998286404,0.640646400017431,0.7368421052631579,0.5285714285714286,0.2631578947368421,0.32,0.0,
lcbench_167168,lcbench,CTRL_HMM,9,200,-88.53622436523438,0.5079365079365079,0.0,2,1,22,0.6696583000011742,0.10273470001993701,0.5669235999812372,0.7566137566137566,0.5594405594405595,0.24338624338624337,0.34782608695652173,0.0,
lcbench_167185,lcbench,CTRL_HMM,0,200,-96.92951965332031,0.6630434782608695,0.0,5,3,11,0.2622713000018848,0.040579699983936734,0.22169160001794808,0.8967391304347826,0.6484848484848484,0.10326086956521739,0.7894736842105263,0.0,
lcbench_167185,lcbench,CTRL_HMM,1,200,-96.9690933227539,0.7433155080213903,0.0,3,2,16,0.2803682999947341,0.04000570019707084,0.24036259979766328,0.93048128342246,0.7471264367816092,0.06951871657754011,0.6923076923076923,0.0,
lcbench_167185,lcbench,CTRL_HMM,2,200,-97.19759368896484,0.7297297297297297,0.0,3,4,13,0.27581069999723695,0.04094830005487893,0.23486239994235802,0.9243243243243243,0.7660818713450293,0.07567567567567568,0.2857142857142857,0.0,
lcbench_167185,lcbench,CTRL_HMM,3,200,-96.52290344238281,0.7021276595744681,0.0,2,2,22,0.4275662000000011,0.049236399951041676,0.37832980004895944,0.898936170212766,0.7218934911242604,0.10106382978723404,0.5263157894736842,0.0,
lcbench_167185,lcbench,CTRL_HMM,4,200,-97.29887390136719,0.6417112299465241,0.0,2,3,16,0.283961500012083,0.04047859999991488,0.2434829000121681,0.9358288770053476,0.6685714285714286,0.06417112299465241,0.25,0.0,
lcbench_167185,lcbench,CTRL_HMM,5,200,-96.66329193115234,0.7005347593582888,0.0,3,2,15,0.2742735000065295,0.0385336998879211,0.2357398001186084,0.9411764705882353,0.6988636363636364,0.058823529411764705,0.7272727272727273,0.0,
lcbench_167185,lcbench,CTRL_HMM,6,200,-97.68714141845703,0.6505376344086021,0.0,3,3,13,0.26790980000805575,0.03899940014525782,0.22891039986279793,0.8870967741935484,0.6909090909090909,0.11290322580645161,0.3333333333333333,0.0,
lcbench_167185,lcbench,CTRL_HMM,7,200,-96.71419525146484,0.7365591397849462,0.0,4,2,17,0.2970922999957111,0.0410372000769712,0.25605509991873987,0.8817204301075269,0.7682926829268293,0.11827956989247312,0.5,0.0,
lcbench_167185,lcbench,CTRL_HMM,8,200,-96.8001937866211,0.679144385026738,0.0,3,2,17,0.3428761000104714,0.04609730004449375,0.29677879996597767,0.8609625668449198,0.7142857142857143,0.13903743315508021,0.46153846153846156,0.0,
lcbench_167185,lcbench,CTRL_HMM,9,200,-97.45860290527344,0.6216216216216216,0.0,4,3,15,0.4361449999996694,0.057563600086723454,0.3785813999129459,0.9243243243243243,0.631578947368421,0.07567567567567568,0.5,0.0,
lcbench_168329,lcbench,CTRL_HMM,0,200,-40.86491394042969,0.5052083333333334,0.0,0,0,28,0.34049570000206586,0.040203400028985925,0.30029229997307993,0.5885416666666666,0.5309734513274337,0.4114583333333333,0.46835443037974683,0.0,
lcbench_168329,lcbench,CTRL_HMM,1,200,-47.2308464050293,0.46596858638743455,0.0,1,0,27,0.36553060000005644,0.041116400112514384,0.32441419988754205,0.5497382198952879,0.4857142857142857,0.450261780104712,0.4418604651162791,0.0,
lcbench_168329,lcbench,CTRL_HMM,2,200,-38.321876525878906,0.4607329842931937,0.0,1,0,25,0.3774123999901349,0.041786499990848824,0.33562589999928605,0.612565445026178,0.5042735042735043,0.387434554973822,0.3918918918918919,0.0,
lcbench_168329,lcbench,CTRL_HMM,3,200,-43.50860595703125,0.5235602094240838,0.0,1,0,25,0.3450083999923663,0.0426229000731837,0.3023854999191826,0.643979057591623,0.5609756097560976,0.35602094240837695,0.45588235294117646,0.0,
