task,suite,method,seed,n_evals,best_loss,acceptance_rate,kernel_fraction_dream,n_rescues,n_reseeds,n_bw_refits,time_total,time_objective,time_overhead,frac_exploit,acc_exploit,frac_explore,acc_explore,frac_trapped,acc_trapped
lcbench_189862,lcbench,FMP_DREAM,1,200,-90.27349090576172,0.2552083333333333,0.7239583333333334,0,0,36,1.4101143999723718,0.19102899974677712,1.2190854002255946,0.3333333333333333,0.25,0.6666666666666666,0.2578125,0.0,
lcbench_189862,lcbench,FMP_DREAM,2,200,-85.54620361328125,0.15625,0.7552083333333334,0,0,36,1.4320477000437677,0.1959695002879016,1.236078199755866,0.18229166666666666,0.14285714285714285,0.8125,0.15384615384615385,0.005208333333333333,1.0
lcbench_189862,lcbench,FMP_DREAM,3,200,-89.87936401367188,0.24479166666666666,0.7291666666666666,0,0,36,1.4023074999568053,0.18245419999584556,1.2198532999609597,0.390625,0.29333333333333333,0.609375,0.21367521367521367,0.0,
lcbench_189862,lcbench,FMP_DREAM,4,200,-84.7129135131836,0.19791666666666666,0.7291666666666666,0,0,36,1.4231868000351824,0.1922183003043756,1.2309684997308068,0.25,0.2916666666666667,0.7395833333333334,0.1619718309859155,0.010416666666666666,0.5
lcbench_189862,lcbench,FMP_DREAM,5,200,-94.3949203491211,0.16666666666666666,0.78125,0,0,36,1.3181344000040554,0.18600900017190725,1.132125399832148,0.22916666666666666,0.20454545454545456,0.7447916666666666,0.15384615384615385,0.026041666666666668,0.2
lcbench_189862,lcbench,FMP_DREAM,6,200,-94.57874298095703,0.13541666666666666,0.765625,0,0,36,1.3767775999731384,0.18751459999475628,1.1892629999783821,0.19791666666666666,0.05263157894736842,0.8020833333333334,0.15584415584415584,0.0,
lcbench_189862,lcbench,FMP_DREAM,7,200,-93.74147033691406,0.23958333333333334,0.7708333333333334,0,0,36,1.3721523000276648,0.18000639986712486,1.19214590016054,0.24479166666666666,0.2553191489361702,0.7447916666666666,0.23076923076923078,0.010416666666666666,0.5
lcbench_189862,lcbench,FMP_DREAM,8,200,-92.74517822265625,0.171875,0.7291666666666666,0,0,36,1.4119268000358716,0.19119119964307174,1.2207356003927998,0.171875,0.18181818181818182,0.828125,0.16981132075471697,0.0,
lcbench_189862,lcbench,FMP_DREAM,9,200,-85.8171615600586,0.1875,0.7083333333333334,0,0,36,1.3804676000145264,0.18086659960681573,1.1996010004077107,0.24479166666666666,0.2553191489361702,0.7552083333333334,0.16551724137931034,0.0,
lcbench_189862,lcbench,FMP_DREAM,10,200,-90.07878875732422,0.25,0.7239583333333334,0,0,36,1.400544699979946,0.18283140007406473,1.2177132999058813,0.3385416666666667,0.26153846153846155,0.6614583333333334,0.2440944881889764,0.0,
