task,suite,method,seed,n_evals,best_loss,acceptance_rate,kernel_fraction_dream,n_rescues,n_reseeds,n_bw_refits,time_total,time_objective,time_overhead,frac_exploit,acc_exploit,frac_explore,acc_explore,frac_trapped,acc_trapped
lcbench_126026,lcbench,FMP,1,200,-99.61156463623047,0.13529411764705881,0.0,3,4,12,0.5619292000192218,0.09960730007151142,0.46232189994771034,0.4117647058823529,0.15714285714285714,0.5411764705882353,0.13043478260869565,0.047058823529411764,0.0
lcbench_126026,lcbench,FMP,2,200,-99.59294891357422,0.19186046511627908,0.0,3,2,15,0.5654473000322469,0.09773699979996309,0.46771030023228377,0.4186046511627907,0.2361111111111111,0.5348837209302325,0.16304347826086957,0.046511627906976744,0.125
lcbench_126026,lcbench,FMP,3,200,-99.62600708007812,0.28488372093023256,0.0,2,3,18,0.6567846999969333,0.10099429980618879,0.5557904001907445,0.4883720930232558,0.32142857142857145,0.5058139534883721,0.2413793103448276,0.005813953488372093,1.0
lcbench_126026,lcbench,FMP,4,200,-99.60244750976562,0.2573099415204678,0.0,2,4,18,0.6415018999832682,0.09820940007921308,0.5432924999040551,0.4678362573099415,0.2,0.5263157894736842,0.3,0.005847953216374269,1.0
lcbench_126026,lcbench,FMP,5,200,-99.61309051513672,0.2774566473988439,0.0,1,3,22,0.6905454000225291,0.10153150028781965,0.5890138997347094,0.4508670520231214,0.21794871794871795,0.5491329479768786,0.3263157894736842,0.0,
lcbench_126026,lcbench,FMP,6,200,-99.49687957763672,0.23563218390804597,0.0,1,2,20,0.6310739000327885,0.09497560031013563,0.5360982997226529,0.5287356321839081,0.17391304347826086,0.4482758620689655,0.2948717948717949,0.022988505747126436,0.5
lcbench_126026,lcbench,FMP,7,200,-99.6191635131836,0.23391812865497075,0.0,4,2,13,0.5920827999943867,0.09866989986039698,0.49341290013398975,0.4269005847953216,0.2328767123287671,0.5614035087719298,0.22916666666666666,0.011695906432748537,0.5
lcbench_126026,lcbench,FMP,8,200,-99.621826171875,0.1871345029239766,0.0,2,4,14,0.5763603000086732,0.09574649954447523,0.480613800464198,0.42105263157894735,0.16666666666666666,0.5497076023391813,0.20212765957446807,0.029239766081871343,0.2
lcbench_126026,lcbench,FMP,9,200,-99.6484375,0.19298245614035087,0.0,3,3,16,0.5467503999825567,0.0934960997547023,0.4532543002278544,0.47953216374269003,0.14634146341463414,0.4678362573099415,0.25,0.05263157894736842,0.1111111111111111
lcbench_126026,lcbench,FMP,10,200,-99.49384307861328,0.16568047337278108,0.0,4,4,13,0.5131099999998696,0.09186790051171556,0.42124209948815405,0.4437869822485207,0.16,0.4911242603550296,0.1686746987951807,0.0650887573964497,0.18181818181818182
