task,suite,method,seed,budget,n_evals,best_value,best_true_value,best_raw,f_star,maximize_raw,time_total,time_objective,wall_time,cost_total,time_overhead,regret,best_metric,fmp_n_evals,fmp_best_loss,fmp_acceptance_rate,fmp_kernel_fraction_dream,fmp_n_rescues,fmp_n_reseeds,fmp_n_bw_refits,fmp_time_total,fmp_time_objective,fmp_time_overhead,fmp_frac_exploit,fmp_acc_exploit,fmp_frac_explore,fmp_acc_explore,fmp_frac_trapped,fmp_acc_trapped,fmp_params,nregret,log_regret
noisy__schwefel_10d,noisy,RS,2,500,500,1901.003946217004,2534.203900286573,1901.003946217004,0.0,False,0.4661199999973178,0.12991299969144166,0.46971839998150244,500.0,0.33620700030587614,2534.203900286573,2534.203900286573,,,,,,,,,,,,,,,,,,0.95641822981898,3.403841554985771
noisy__schwefel_10d,noisy,RS,3,500,500,2246.6665951242317,2866.5968005732,2246.6665951242317,0.0,False,0.47272269998211414,0.13549510051961988,0.4752855999977328,500.0,0.33722759946249425,2866.5968005732,2866.5968005732,,,,,,,,,,,,,,,,,,1.081864579759718,3.4573666118162465
noisy__schwefel_10d,noisy,RS,4,500,500,2236.3455710204407,2668.829472627286,2236.3455710204407,0.0,False,0.4461392000084743,0.12834319908870384,0.4493454999756068,500.0,0.31779600091977045,2668.829472627286,2668.829472627286,,,,,,,,,,,,,,,,,,1.007226434940877,3.4263208250190664
noisy__schwefel_10d,noisy,RS,5,500,500,2240.549223265291,2673.4184623891033,2240.549223265291,0.0,False,0.47407890000613406,0.1374418000341393,0.47748140001203865,500.0,0.33663709997199476,2673.4184623891033,2673.4184623891033,,,,,,,,,,,,,,,,,,1.008958337201843,3.42706694292505
noisy__schwefel_10d,noisy,RS,6,500,500,1939.668009803703,2106.6519976148966,1939.668009803703,0.0,False,0.4913863000110723,0.14064639911521226,0.49435509997420013,500.0,0.35073990089586005,2106.6519976148966,2106.6519976148966,,,,,,,,,,,,,,,,,,0.7950585089761779,3.3235927994913217
noisy__schwefel_10d,noisy,RS,7,500,500,2409.608889065557,3177.7200092297358,2409.608889065557,0.0,False,0.47844169999007136,0.13697269995464012,0.4814186000148766,500.0,0.34146900003543124,3177.7200092297358,3177.7200092297358,,,,,,,,,,,,,,,,,,1.1992836668526057,3.502115628616041
noisy__schwefel_10d,noisy,RS,8,500,500,2036.2693402590878,2443.47590493351,2036.2693402590878,0.0,False,0.4830874999752268,0.13512600038666278,0.48708680004347116,500.0,0.34796149958856404,2443.47590493351,2443.47590493351,,,,,,,,,,,,,,,,,,0.9221771378923245,3.3880080608162015
noisy__schwefel_10d,noisy,RS,9,500,500,2210.5741162244217,2292.2689799009613,2210.5741162244217,0.0,False,0.4635208999970928,0.13226359995314851,0.4669028000207618,500.0,0.33125730004394427,2292.2689799009613,2292.2689799009613,,,,,,,,,,,,,,,,,,0.8651110669421347,3.3602655773584895
noisy__schwefel_10d,noisy,RS,10,500,500,1493.981602967787,2100.910274943381,1493.981602967787,0.0,False,0.47204570000758395,0.13424590026261285,0.47435929998755455,500.0,0.3377997997449711,2100.910274943381,2100.910274943381,,,,,,,,,,,,,,,,,,0.7928915609129296,3.322407505081315
noisy__schwefel_10d,noisy,RS,11,500,500,2234.923435971093,3052.827360272123,2234.923435971093,0.0,False,0.4655323000042699,0.13337490131380036,0.4689331999979913,500.0,0.33215739869046956,3052.827360272123,3052.827360272123,,,,,,,,,,,,,,,,,,1.1521487041844731,3.4847022453071377
