task,suite,method,seed,budget,n_evals,best_value,best_true_value,best_raw,f_star,maximize_raw,time_total,time_objective,wall_time,cost_total,time_overhead,best_metric,fmp_n_evals,fmp_best_loss,fmp_acceptance_rate,fmp_kernel_fraction_dream,fmp_n_rescues,fmp_n_reseeds,fmp_n_bw_refits,fmp_time_total,fmp_time_objective,fmp_time_overhead,fmp_frac_exploit,fmp_acc_exploit,fmp_frac_explore,fmp_acc_explore,fmp_frac_trapped,fmp_acc_trapped,fmp_params,truncated,nregret,log_regret
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,6,200,200,-93.56712341308594,-93.56712341308594,93.56712341308594,,True,0.7811401999788359,0.08082839980488643,0.792394099989906,10400.0,0.7003118001739495,93.56712341308594,200.0,-93.56712341308594,0.657608695652174,0.0,0.0,0.0,34.0,0.7809925000183284,0.09093000029679388,0.6900624997215346,0.7065217391304348,0.7384615384615385,0.29347826086956524,0.46296296296296297,0.0,,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 6}",,,
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,7,200,200,-94.29378509521484,-94.29378509521484,94.29378509521484,,True,0.8498030999908224,0.08922540041385219,0.863070199964568,10400.0,0.7605776995769702,94.29378509521484,200.0,-94.29378509521484,0.7608695652173914,0.0,0.0,0.0,34.0,0.8496606000117026,0.0996358001139015,0.7500247998978011,0.7119565217391305,0.8091603053435115,0.28804347826086957,0.6415094339622641,0.0,,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 7}",,,
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,8,200,200,-93.76471710205078,-93.76471710205078,93.76471710205078,,True,0.819002999982331,0.08517759968526661,0.8274507000460289,10400.0,0.7338254002970643,93.76471710205078,200.0,-93.76471710205078,0.7934782608695652,0.0,0.0,0.0,34.0,0.8188808000413701,0.09508219920098782,0.7237986008403823,0.8532608695652174,0.8152866242038217,0.14673913043478262,0.6666666666666666,0.0,,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 8}",,,
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,9,200,200,-93.29945373535156,-93.29945373535156,93.29945373535156,,True,0.8852455000160262,0.08955149998655543,0.8943168999976479,10400.0,0.7956940000294708,93.29945373535156,200.0,-93.29945373535156,0.7228260869565217,0.0,0.0,0.0,34.0,0.8851153000141494,0.10001510044094175,0.7851001995732076,0.7336956521739131,0.7703703703703704,0.266304347826087,0.5918367346938775,0.0,,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 9}",,,
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,10,200,200,-94.0516586303711,-94.0516586303711,94.0516586303711,,True,0.9233589000068605,0.09002290019998327,0.9344797999947332,10400.0,0.8333359998068772,94.0516586303711,200.0,-94.0516586303711,0.717391304347826,0.0,0.0,0.0,34.0,0.9231709000305273,0.10067280009388924,0.822498099936638,0.7228260869565217,0.7443609022556391,0.27717391304347827,0.6470588235294118,0.0,,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 10}",,,
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,11,200,200,-93.35072326660156,-93.35072326660156,93.35072326660156,,True,0.8457862000213936,0.08493290009209886,0.8547950999927707,10400.0,0.7608532999292947,93.35072326660156,200.0,-93.35072326660156,0.6847826086956522,0.0,0.0,0.0,34.0,0.8456416000262834,0.098991499398835,0.7466501006274484,0.7934782608695652,0.7123287671232876,0.20652173913043478,0.5789473684210527,0.0,,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 11}",,,
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,12,200,200,-93.22367858886719,-93.22367858886719,93.22367858886719,,True,0.903318400029093,0.09667049965355545,0.9160565999918617,10400.0,0.8066479003755376,93.22367858886719,200.0,-93.22367858886719,0.7336956521739131,0.0,0.0,0.0,34.0,0.9030858000041917,0.10777199995936826,0.7953138000448234,0.7010869565217391,0.8217054263565892,0.29891304347826086,0.5272727272727272,0.0,,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 12}",,,
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,13,200,200,-93.53857421875,-93.53857421875,93.53857421875,,True,0.9015729999518953,0.09077169973170385,0.9134518999489956,10400.0,0.8108013002201915,93.53857421875,200.0,-93.53857421875,0.75,0.0,0.0,0.0,34.0,0.9013182000489905,0.10186829976737499,0.7994499002816156,0.7771739130434783,0.7902097902097902,0.22282608695652173,0.6097560975609756,0.0,,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 13}",,,
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,14,200,200,-93.70858001708984,-93.70858001708984,93.70858001708984,,True,0.7292467000079341,0.0798620994319208,0.7398906000307761,10400.0,0.6493846005760133,93.70858001708984,200.0,-93.70858001708984,0.657608695652174,0.0,0.0,0.0,34.0,0.7290784000069834,0.08900959976017475,0.6400688002468087,0.6793478260869565,0.728,0.31521739130434784,0.5,0.005434782608695652,1.0,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 14}",,,
lcbench_167104,lcbench,L1_K1_VITERBI_SUB,15,200,200,-93.8309097290039,-93.8309097290039,93.8309097290039,,True,0.8938502999953926,0.09187170001678169,0.9059413999784738,10400.0,0.8019785999786109,93.8309097290039,200.0,-93.8309097290039,0.7391304347826086,0.0,0.0,0.0,34.0,0.8936471999622881,0.103253299894277,0.7903939000680111,0.7934782608695652,0.815068493150685,0.20652173913043478,0.4473684210526316,0.0,,"{""decoder"": ""viterbi"", ""explore_subsample"": true, ""n_chains"": 1, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""seed"": 15}",,,
