task,suite,method,seed,budget,n_evals,best_value,best_true_value,best_raw,f_star,maximize_raw,time_total,time_objective,wall_time,cost_total,time_overhead,best_metric,fmp_n_evals,fmp_best_loss,fmp_acceptance_rate,fmp_kernel_fraction_dream,fmp_n_rescues,fmp_n_reseeds,fmp_n_bw_refits,fmp_time_total,fmp_time_objective,fmp_time_overhead,fmp_frac_exploit,fmp_acc_exploit,fmp_frac_explore,fmp_acc_explore,fmp_frac_trapped,fmp_acc_trapped,fmp_params,nregret,log_regret
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,2,200,200,-0.9202035069465637,-0.9202035069465637,0.9202035069465637,,True,1.100799800013192,0.14301059930585325,1.1062406999990344,200.0,0.9577892007073388,0.9202035069465637,200.0,-0.9202035069465637,0.21354166666666666,0.7083333333333334,0.0,0.0,36.0,1.100582499988377,0.1553847001050599,0.9451977998833172,0.3229166666666667,0.1774193548387097,0.6770833333333334,0.23076923076923078,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 2, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,3,200,200,-1.0,-1.0,1.0,,True,0.9525713999755681,0.13792159972945228,0.956374200002756,200.0,0.8146498002461158,1.0,200.0,-1.0,0.4270833333333333,0.7916666666666666,0.0,0.0,36.0,0.952373499982059,0.1502465002122335,0.8021269997698255,0.5520833333333334,0.4716981132075472,0.4479166666666667,0.37209302325581395,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 3, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,4,200,200,-1.0,-1.0,1.0,,True,0.9979663999984041,0.13458410010207444,1.0029563999851234,200.0,0.8633822998963296,1.0,200.0,-1.0,0.546875,0.71875,0.0,0.0,36.0,0.9977571999770589,0.14652560011018068,0.8512315998668782,0.6458333333333334,0.5483870967741935,0.3541666666666667,0.5441176470588235,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 4, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,5,200,200,-1.0,-1.0,1.0,,True,1.010342599998694,0.14309960009995848,1.0164450000156648,200.0,0.8672429998987354,1.0,200.0,-1.0,0.4895833333333333,0.75,0.0,0.0,36.0,1.0101005000178702,0.15554620057810098,0.8545542994397692,0.5260416666666666,0.5148514851485149,0.4739583333333333,0.46153846153846156,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 5, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,6,200,200,-0.9220306873321533,-0.9220306873321533,0.9220306873321533,,True,0.9997159999911673,0.1388496997533366,1.0050172999617644,200.0,0.8608663002378307,0.9220306873321533,200.0,-0.9220306873321533,0.18229166666666666,0.7864583333333334,0.0,0.0,36.0,0.9995131000177935,0.15075530076865107,0.8487577992491424,0.3020833333333333,0.13793103448275862,0.6979166666666666,0.20149253731343283,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 6, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,7,200,200,-0.9139693975448608,-0.9139693975448608,0.9139693975448608,,True,1.0390716000110842,0.14026339974952862,1.0446971000055782,200.0,0.8988082002615556,0.9139693975448608,200.0,-0.9139693975448608,0.23958333333333334,0.71875,0.0,0.0,36.0,1.038818100001663,0.15191020036581904,0.8869078996358439,0.296875,0.21052631578947367,0.671875,0.24806201550387597,0.03125,0.3333333333333333,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 7, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,8,200,200,-1.0,-1.0,1.0,,True,0.9650518000125885,0.13893570011714473,0.9692204999737442,200.0,0.8261160998954438,1.0,200.0,-1.0,0.3802083333333333,0.734375,0.0,0.0,36.0,0.9648414000403136,0.15067160013131797,0.8141697999089956,0.515625,0.40404040404040403,0.484375,0.3548387096774194,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 8, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,9,200,200,-0.918677806854248,-0.918677806854248,0.918677806854248,,True,0.9836614999803714,0.1435379000613466,0.9892968999920413,200.0,0.8401235999190249,0.918677806854248,200.0,-0.918677806854248,0.22916666666666666,0.7916666666666666,0.0,0.0,36.0,0.9834230999695137,0.1557164997793734,0.8277066001901403,0.24479166666666666,0.19148936170212766,0.7552083333333334,0.2413793103448276,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 9, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,10,200,200,-1.0,-1.0,1.0,,True,0.9783987999544479,0.1327375997789204,0.9835168999852613,200.0,0.8456612001755275,1.0,200.0,-1.0,0.375,0.7083333333333334,0.0,0.0,36.0,0.9781919000088237,0.14426559989806265,0.8339263001107611,0.4270833333333333,0.3780487804878049,0.5729166666666666,0.37272727272727274,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 10, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,11,200,200,-1.0,-1.0,1.0,,True,0.8923274000408128,0.126525399973616,0.8956882000202313,200.0,0.7658020000671968,1.0,200.0,-1.0,0.46875,0.7447916666666666,0.0,0.0,36.0,0.8921391000039876,0.13783029944170266,0.7543088005622849,0.5572916666666666,0.5514018691588785,0.4427083333333333,0.36470588235294116,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 11, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,12,200,200,-0.9146669507026672,-0.9146669507026672,0.9146669507026672,,True,1.0061172000132501,0.13721209962386638,1.010990499984473,200.0,0.8689051003893837,0.9146669507026672,200.0,-0.9146669507026672,0.19270833333333334,0.6979166666666666,0.0,0.0,36.0,1.0059150999877602,0.14928320015314966,0.8566318998346105,0.22395833333333334,0.20930232558139536,0.7760416666666666,0.18791946308724833,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 12, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,13,200,200,-0.9171493649482727,-0.9171493649482727,0.9171493649482727,,True,0.9226362999761477,0.1340948004508391,0.9286121999612078,200.0,0.7885414995253086,0.9171493649482727,200.0,-0.9171493649482727,0.19270833333333334,0.7916666666666666,0.0,0.0,36.0,0.9223808000097051,0.14581419964088127,0.7765666003688239,0.28125,0.2222222222222222,0.71875,0.18115942028985507,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 13, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,14,200,200,-1.0,-1.0,1.0,,True,1.1124885000172071,0.14918519963975996,1.1173509999644011,200.0,0.9633033003774472,1.0,200.0,-1.0,0.484375,0.7395833333333334,0.0,0.0,36.0,1.1122768999775872,0.1618155000032857,0.9504613999743015,0.6302083333333334,0.49586776859504134,0.3697916666666667,0.4647887323943662,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 14, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,15,200,200,-1.0,-1.0,1.0,,True,0.9421343999565579,0.13038730045082048,0.9459403000073507,200.0,0.8117470995057374,1.0,200.0,-1.0,0.421875,0.75,0.0,0.0,36.0,0.941943200014066,0.1415394998039119,0.8004037002101541,0.5208333333333334,0.46,0.4791666666666667,0.3804347826086957,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 15, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,16,200,200,-1.0,-1.0,1.0,,True,0.9502315000281669,0.12782929989043623,0.9548463000101037,200.0,0.8224022001377307,1.0,200.0,-1.0,0.5677083333333334,0.7135416666666666,0.0,0.0,36.0,0.9500439999974333,0.13902029953897,0.8110237004584633,0.6614583333333334,0.5905511811023622,0.3385416666666667,0.5230769230769231,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 16, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
rbv2_xgboost_41162,rbv2_xgboost,FMP_DREAM,17,200,200,-1.0,-1.0,1.0,,True,1.1160481999977492,0.14928480004891753,1.1211976000340655,200.0,0.9667633999488316,1.0,200.0,-1.0,0.453125,0.6822916666666666,0.0,0.0,36.0,1.115834199998062,0.16182720009237528,0.9540069999056868,0.578125,0.4774774774774775,0.421875,0.41975308641975306,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 1, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.7412354684077219, ""rejection_streak"": 24, ""seed"": 17, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",,
